ID;ID_EQUIPO;COSTO;FECHA_INGRESO;FECHA_INICIO_OP;PRECIO_DEPRECIACION;AÑOS_USO;VIDA_UTIL;OBSOLESCENCIA_PCT;NIVEL_OBSOLESCENCIA;MTO_CORRECTIVO
BIO_36;33;3266000;22/08/2018;08/10/2018;1041000;7.2;10;53.8;Envejeciendo;0
BIO_37;33;2996000;28/07/2015;17/09/2015;150000;10.2;10;100.0;Obsoleto;4
BIO_38;33;3494000;18/08/2020;20/09/2020;1751000;5.2;10;51.9;Envejeciendo;2
BIO_39;29;577000;19/07/2016;01/09/2016;70000;9.2;10;69.4;Envejeciendo;0
BIO_40;31;1112000;24/03/2024;17/05/2024;945000;1.6;10;18.1;Vigente;1
BIO_41;30;618000;22/05/2015;18/07/2015;31000;10.4;10;87.5;Proximo a obsoleto;2
BIO_42;28;1010000;21/05/2024;09/07/2024;874000;1.4;10;16.9;Vigente;1
BIO_43;34;29114000;22/05/2021;15/07/2021;16889000;4.4;10;39.4;En uso normal;1
BIO_44;36;9819000;23/11/2024;21/01/2025;8961000;0.9;10;6.9;Vigente;0
BIO_45;35;7218000;09/04/2020;24/05/2020;3392000;5.6;10;41.9;En uso normal;0
BIO_46;37;4820000;21/02/2021;20/04/2021;2682000;4.7;10;47.5;En uso normal;2
BIO_47;38;408000;20/04/2014;27/05/2014;20000;11.6;10;100.0;Obsoleto;4
BIO_48;38;460000;03/12/2014;25/01/2015;23000;10.9;10;93.8;Proximo a obsoleto;3
BIO_49;38;780000;12/12/2024;04/02/2025;718000;0.8;10;12.5;Vigente;1
BIO_50;42;615000;30/08/2023;29/10/2023;488000;2.2;10;41.3;En uso normal;4
BIO_51;42;549000;12/12/2018;27/01/2019;188000;6.9;10;76.9;Proximo a obsoleto;4
BIO_52;42;489000;02/10/2017;30/11/2017;114000;8.1;10;85.6;Proximo a obsoleto;4
BIO_53;42;537000;29/12/2019;09/02/2020;240000;5.8;10;56.2;Envejeciendo;2
BIO_54;41;797000;10/08/2024;23/09/2024;702000;1.2;10;9.4;Vigente;0
BIO_55;41;579000;15/01/2018;16/02/2018;148000;7.8;10;71.3;Envejeciendo;2
BIO_56;41;575000;01/03/2018;18/04/2018;156000;7.7;10;63.8;Envejeciendo;1
BIO_57;41;395000;05/08/2014;26/09/2014;20000;11.2;10;75.0;Proximo a obsoleto;0
BIO_58;41;413000;07/07/2014;03/09/2014;21000;11.2;10;75.0;Proximo a obsoleto;0
BIO_59;41;435000;04/08/2014;19/09/2014;22000;11.2;10;81.2;Proximo a obsoleto;1
BIO_60;41;772000;21/11/2023;27/12/2023;625000;2.0;10;40.0;En uso normal;4
BIO_61;39;689000;09/08/2023;15/09/2023;542000;2.2;10;35.6;En uso normal;3
BIO_62;45;576000;09/04/2017;12/05/2017;107000;8.6;10;64.4;Envejeciendo;0
BIO_63;45;635000;12/12/2020;24/01/2021;338000;4.9;10;55.6;Envejeciendo;3
BIO_64;54;666000;20/03/2014;10/05/2014;33000;11.6;10;75.0;Proximo a obsoleto;0
BIO_65;40;720000;12/01/2022;06/03/2022;464000;3.8;10;40.6;En uso normal;2
BIO_66;43;593000;30/07/2018;04/09/2018;185000;7.2;10;60.6;Envejeciendo;1
BIO_67;45;825000;24/01/2023;27/02/2023;603000;2.8;10;40.0;En uso normal;3
BIO_68;38;613000;01/04/2019;15/05/2019;230000;6.6;10;55.6;Envejeciendo;1
BIO_69;38;695000;10/12/2022;03/02/2023;508000;2.8;10;46.2;En uso normal;4
BIO_70;38;402000;19/02/2014;10/04/2014;20000;11.7;10;100.0;Obsoleto;4
BIO_71;39;462000;04/02/2015;04/04/2015;23000;10.7;10;81.2;Proximo a obsoleto;1
BIO_72;38;759000;12/02/2022;29/03/2022;489000;3.8;10;46.9;En uso normal;3
BIO_73;57;586000;30/12/2021;26/02/2022;373000;3.8;10;28.7;En uso normal;0
BIO_74;57;642000;02/07/2021;01/08/2021;378000;4.3;10;51.2;Envejeciendo;3
BIO_75;57;556000;17/03/2023;25/04/2023;415000;2.7;10;38.8;En uso normal;3
BIO_76;50;1146000;01/12/2023;04/01/2024;937000;1.9;10;20.6;Vigente;1
BIO_77;53;883000;19/11/2017;18/01/2018;219000;7.9;10;59.4;Envejeciendo;0
BIO_78;49;621000;15/05/2014;07/07/2014;31000;11.4;10;87.5;Proximo a obsoleto;2
BIO_79;52;742000;15/02/2014;04/04/2014;37000;11.7;10;93.8;Proximo a obsoleto;3
BIO_80;52;1110000;29/11/2024;03/01/2025;1013000;0.9;10;6.9;Vigente;0
BIO_81;55;724000;19/10/2014;15/12/2014;36000;11.0;10;81.2;Proximo a obsoleto;1
BIO_82;51;689000;11/07/2014;31/08/2014;34000;11.3;10;81.2;Proximo a obsoleto;1
BIO_83;53;873000;10/09/2015;09/11/2015;44000;10.1;10;100.0;Obsoleto;4
BIO_84;53;666000;22/11/2013;10/01/2014;33000;11.9;10;75.0;Proximo a obsoleto;0
BIO_85;53;1234000;22/09/2024;01/11/2024;1107000;1.1;10;20.6;Vigente;2
BIO_86;47;577000;18/01/2020;24/02/2020;257000;5.8;10;56.3;Envejeciendo;2
BIO_87;48;482000;09/12/2015;29/01/2016;28000;9.9;10;86.9;Proximo a obsoleto;2
BIO_88;48;617000;04/02/2020;03/04/2020;285000;5.7;10;42.5;En uso normal;0
BIO_89;56;1192000;13/04/2023;01/06/2023;909000;2.5;10;43.7;En uso normal;4
BIO_90;56;767000;24/08/2014;10/10/2014;38000;11.2;10;81.2;Proximo a obsoleto;1
BIO_91;56;937000;13/12/2018;16/01/2019;321000;6.9;10;64.4;Envejeciendo;2
BIO_92;58;5967000;25/06/2018;05/08/2018;1812000;7.3;10;67.5;Envejeciendo;2
BIO_93;59;4262000;30/10/2022;25/12/2022;3047000;3.0;10;47.5;En uso normal;4
BIO_94;60;2434000;12/11/2024;12/12/2024;2203000;1.0;10;32.5;En uso normal;4
BIO_95;61;5317000;29/04/2015;28/06/2015;266000;10.5;7;81.2;Proximo a obsoleto;1
BIO_96;61;4967000;04/08/2015;01/10/2015;248000;10.2;7;75.0;Proximo a obsoleto;0
BIO_97;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_98;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_99;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_100;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_101;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_102;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_103;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_104;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_105;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_106;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_107;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_108;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_109;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_110;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_111;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_112;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_113;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_114;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_115;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_116;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_117;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_118;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_119;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_312;64;7387000;06/08/2020;30/09/2020;2124000;5.2;7;56.2;Envejeciendo;0
BIO_313;64;5127000;09/09/2014;13/10/2014;256000;11.2;7;81.2;Proximo a obsoleto;1
BIO_314;64;7705000;16/03/2021;17/04/2021;2822000;4.7;7;68.8;Envejeciendo;3
BIO_315;67;6651000;07/12/2018;23/01/2019;405000;6.9;7;74.1;Envejeciendo;0
BIO_120;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_121;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_122;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_123;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_124;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_125;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_126;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_127;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_128;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_129;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_130;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_131;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_132;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_133;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_134;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_135;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_136;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_137;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_138;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_139;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_140;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_141;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_142;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_143;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_144;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_145;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_146;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_147;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_148;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_149;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_150;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_151;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_152;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_153;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_154;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_155;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_156;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_157;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_158;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_159;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_160;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_161;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_162;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_163;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_164;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_165;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_166;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_167;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_168;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_169;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_170;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_171;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_172;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_173;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_174;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_175;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_176;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_177;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_178;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_179;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_180;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_181;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_182;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_183;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_184;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_185;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_186;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_187;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_188;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_189;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_190;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_191;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_192;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_193;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_194;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_195;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_196;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_197;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_198;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_199;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_200;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_201;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_202;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_203;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_204;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_205;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_206;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_207;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_208;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_209;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_210;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_211;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_212;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_213;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_214;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_215;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_216;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_217;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_218;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_219;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_220;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_221;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_222;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_223;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_224;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_225;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_226;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_227;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_228;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_229;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_230;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_231;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_232;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_233;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_234;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_235;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_236;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_237;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_238;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_239;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_240;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_241;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_242;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_243;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_244;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_245;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_246;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_247;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_854;246;1636000;19/03/2019;08/05/2019;613000;6.6;10;49.4;En uso normal;0
BIO_855;245;1664000;24/05/2019;17/07/2019;649000;6.4;10;48.1;En uso normal;0
BIO_856;238;6560000;08/10/2019;13/11/2019;2771000;6.1;7;86.3;Proximo a obsoleto;4
BIO_598;173;434000;30/09/2023;05/11/2023;262000;2.1;5;37.5;En uso normal;1
BIO_340;80;6866000;04/05/2018;21/06/2018;2789000;7.5;12;59.4;Envejeciendo;2
BIO_341;80;5978000;28/11/2016;05/01/2017;1757000;8.9;12;55.7;Envejeciendo;0
BIO_342;80;9254000;11/06/2022;27/07/2022;6748000;3.4;12;21.4;Vigente;0
BIO_248;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_249;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_250;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_251;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_252;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_253;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_254;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_255;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_256;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_257;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_258;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_259;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_260;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_261;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_262;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_263;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_264;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_265;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_266;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_267;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_268;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_269;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_270;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_271;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_272;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
BIO_273;61;9055000;13/05/2023;25/06/2023;5212000;2.5;7;26.8;En uso normal;0
