ID;ID_ORIGINAL;ID_EQUIPO;EQUIPO;MARCA;MODELO;SERIE;ACTIVO_FIJO;AREA;UBICACION;REGISTRO_SANITARIO;CLASIFICACION_RIESGO;ESTADO;PROPIETARIO_EQUIPO;ENCARGADO_MTTO_MP;PERIODICIDAD_MP
11;12;10;Analizador de Gases;Roche;Cobas 221;27001;N.I;Hemodinamia;Preparacion pacientes;INVIMA 2019DM-0019363;CLASE IIA;DISPONIBLE;Roche;Roche;ANUAL
12;13;10;Analizador de Gases;Roche;Cobas 221;26756;N.I;UCIN;No especifica;INVIMA 2019DM-0019363;CLASE IIA;DISPONIBLE;Roche;Roche;ANUAL
13;14;11;Analizador de Hematologia;Sysmex;XN-1000;22015;N.I;Laboratorio;Hematologia - Coagulacion;No especifica;No especifica;DISPONIBLE;Roche;Roche;SEMESTRAL
14;15;12;Analizador de Inmunoensayos;Abbott;ARCHITET I2000SR;RSh61484;N.I;Banco de Sangre;Area infecciosas;INVIMA 2024DM-0011772-R1;No especifica;DISPONIBLE;Abbott;ABBOTT;SEMESTRAL
15;16;13;Analizador de Inmunohematologia;Bio-Rad;TECHNO TWIN STATION;494;N.I;Banco de Sangre;Inmunohematologia;INVIMA 2018DM-0019105;No especifica;DISPONIBLE;Biocientifica;Biocientifica;SEMESTRAL
16;17;14;Analizador de Inmunologia;COBAS;COBAS 6000;1086-24;N.I;Laboratorio;Inmunologia;INVIMA 2018DM-0019105;CLASE IIA;DISPONIBLE;Roche;Roche;ANUAL
17;18;15;Analizador de Inmunologia;Roche;COBAS e411;1053-02;N.I;Laboratorio;Inmunologia;INVIMA 2019DM-0019335;CLASE IIA;DISPONIBLE;Roche;Roche;SEMESTRAL
18;19;16;Analizador de Microelisa;DYNEX TECNOLOGIES;DS2;1DSA0756;DM-002303;Laboratorio;Regionales (Microelisa);INVIMA 2021DM-0023933;CLASE IIA;DISPONIBLE;ANNAR;ANNAR;SEMESTRAL
19;20;19;Analizador de muestras de orina;COBAS;U601;SU0501221;N.I;Laboratorio;Urgencias Microscopia;INVIMA 2024DM-0011237-R1;CLASE IIA;DISPONIBLE;Roche;Roche;SEMESTRAL
20;21;17;Analizador de Quimica;COBAS;COBAS 6000;0752-26;701967;Laboratorio;Quimica;INVIMA 2018DM-0019105;CLASE IIA;DISPONIBLE;Roche;Roche;ANUAL
21;22;18;Analizador de Sangre;Abbott;I-STAT 1 (300-G);1302719;V112881;Cirugia;Sala 1;NVIMA 2016DM-0015449;No especifica;DISPONIBLE;Cosmitet Ltda.;Arrow;SEMESTRAL
22;23;4;Analizador Heliprobe;Kibion;HPU-011;22232944;N2588;Gastroscopia;Sala de procedimientos;INVIMA 2021DM-0007567-R1;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
23;24;20;Angiografo;Siemens;AXION ARTIS ZEE CEILING;148494;N2972;Hemodinamia;procedimientos;INVIMA 2018EBC-0001426-R1;No especifica;DISPONIBLE;Cosmitet Ltda.;Siemens;SEMESTRAL
24;25;21;Anoscopio (Proctoscopio);Karl Storz;24954KK;24954;N8503;Gastroscopia;Sala de procedimientos;INVIMA 2020DM-0022485;No especifica;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
25;26;23;Arco en C;Siemens;Siremobil Compac;03201S07;N3277;Cirugia;Cuarto de equipos;INVIMA 2019EBC-0002441-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;SEMESTRAL
26;27;22;Arco en C;Siemens;Cios Fit;3183;No especifica;Cirugia;Cuarto de equipos;INVIMA 2019EBC-0002441-R1;CLASE IIB;DISPONIBLE;Cosmitet Ltda.;CM Medical;SEMESTRAL
27;28;26;Autoclave de Cassete;SCICAN;STATIM 2000;100208C00184;V101306;Cirugia;Cuarto de equipos;INVIMA 2015DM-0012588;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
28;29;24;Autoclave Vapor;PAFFOR;PAF340L1P;21092012N-159;V111147;Central de Esterilizacion;Area de preparacion;INVIMA 2022DM-0025490;No especifica;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
29;30;25;Autoclave Vapor;PAFFOR;PAFF-AR-500;04082022-440;N7200;Central de Esterilizacion;Area de preparacion;INVIMA 2022DM-0025490;No especifica;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
30;31;151;Esterilizador a Gas;3M;STERI-VAC 5XL;720240;V108966;Central de Esterilizacion;Area de preparacion;2017DM-0000328-R1;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
31;32;31;Balanza de Sangre;GENESIS;CM 350;3545258;V112574;Banco de Sangre;Bodega;No aplica (Circular externa No. 50-8060-13);No Aplica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
32;33;31;Balanza de Sangre;GENESIS;CM 350;3539543;V108102;Banco de Sangre;Sala de Donacion;No aplica (Circular externa No. 50-8060-13);No Aplica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
33;34;31;Balanza de Sangre;GENESIS;CM 350;3539537;V108104;Banco de Sangre;Campanas;No aplica (Circular externa No. 50-8060-13);No Aplica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
34;35;32;Balanza de Sangre;Terumo;D601;2022061078;N.I;Banco de Sangre;Carro Campana;INVIMA 2011DM-0007645;No especifica;DISPONIBLE;Terumo;Terumo;ANUAL
35;36;32;Balanza de Sangre;Terumo;D601;2022061090;N.I;Banco de Sangre;Carro Campana;INVIMA 2011DM-0007645;No especifica;DISPONIBLE;Terumo;Terumo;ANUAL
36;37;32;Balanza de Sangre;Terumo;D601;13051426;N.I;Banco de Sangre;Campanas;INVIMA 2011DM-0007645;No especifica;FUERA DE SERVICIO;Terumo;Terumo;ANUAL
37;38;32;Balanza de Sangre;Terumo;D601;2022061088;N.A;Banco de Sangre;Sala de Donacion;INVIMA 2011DM-0007645;No especifica;DISPONIBLE;Terumo;Terumo;ANUAL
38;39;28;Balanza Gramera;Ohaus;NVL5101/1;8332326029;V116540;Banco de Sangre;Separacion de Componentes;No aplica (ACTA No. 07 Junio 10 de 2009);No Aplica;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;N/A
39;40;30;Balanza Gramera;Seca;856;8856334180051;N1919;UCI 2;CUARTO DE EQUIPOS;No aplica (ACTA No. 07 Junio 10 de 2009);No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
40;41;29;Balanza Gramera;Ohaus;TRIPLE BRAZO;200009;V102401;Laboratorio;Centrifugacion;No aplica (ACTA No. 07 Junio 10 de 2009);No Aplica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
41;42;27;Balanza Gramera;Ohaus;700/800 series;E03bal003;1032000105;Cirugia;Cuarto de equipos;No aplica (ACTA No. 07 Junio 10 de 2009);No Aplica;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
42;43;33;Banda prueba de esfuerzo;Full vision;TMX425;FB-4995;1071000024;Cardiologia;Cardiologia 6 piso;N.A;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
43;44;35;Banda sin fin;weslo;1005;j1213738;af31251;Rehabilitacion Cardiaca;Rehabilitacion cardiaca;N.A;No especifica;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
44;45;34;Banda sin fin;keys;n.i;64405;1071000002;Rehabilitacion Cardiaca;Rehabilitacion cardiaca;N.A;No especifica;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
45;46;36;Bano Serologico;Memmert;WB7;12960621;2017000081;Banco de Sangre;Separacion de Componentes;No aplica (ACTA No. 07 Junio 10 de 2009);No Aplica;FUERA DE SERVICIO;Cosmitet Ltda.;Cosmitet Ltda.;N/A
46;47;37;Bascula Analoga;Health o Meter;160 KG;1600021011;N3410;Banco de Sangre;Valoracion y Entrevista;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
47;48;37;Bascula Analoga;Health o Meter;160 KG;1600020903;N3926;Banco de Sangre;Carro campana;INVIMA 2013DM-0010061;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
48;49;37;Bascula Analoga;Health o Meter;160 KG;1600002636;1032000304;Cirugia;Preparacion de Pacientes;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
49;50;41;Bascula Analoga;Health o Meter;160Kg;1600006051;V102536;Especialistas;Consultorio #5;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
50;51;41;Bascula Analoga;Health o Meter;160Kg;1600006052;V102532;Especialistas;Consultorio #6;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
51;52;41;Bascula Analoga;Health o Meter;160Kg;1600002943;1032000293;Especialistas;Consultorio #12;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
52;53;41;Bascula Analoga;Health o Meter;160Kg;1600002622;1032000292;Especialistas;Consultorio #11;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
53;54;40;Bascula Analoga;Health o Meter;160KG;1600011108;V108920;Especialistas;Consultorio #3;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
54;55;40;Bascula Analoga;Health o Meter;160KG;1600002600;AF30573;Especialistas;Consultorio #1;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
55;56;40;Bascula Analoga;Health o Meter;160KG;16000011333;V108922;Especialistas;Consultorio #4;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
56;57;40;Bascula Analoga;Health o Meter;160KG;1600011334;V108921;Especialistas;Consultorio #2;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
57;58;40;Bascula Analoga;Health o Meter;160KG;1600003766;V99013;Especialistas;Consultorio #8;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
58;59;40;Bascula Analoga;Health o Meter;160KG;1600002599;AF 30543;Especialistas;Consultorio #13;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
59;60;40;Bascula Analoga;Health o Meter;160KG;1600011782;V108599;Gastroscopia;Sala de procedimientos;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
60;61;38;Bascula Analoga;Health o Meter;160 kg;1620002182;V111988;Hospitalizacion;estacion de enfermeria #8;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
61;62;44;Bascula Analoga;Seca;750;2750290138289;V116188;Imagenes Diagnosticas;Resonancia;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
62;63;44;Bascula Analoga;Seca;750;10000000313355 (5750294192911);N.I;Hospitalizacion;6to piso;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
63;64;53;Bascula Digital;Seca;874;5874238156999;N618;Biomedico;Biomedico;No especifica;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
64;65;39;Bascula Analoga;Health o Meter;160 kgwa;1620002678;V111916;UCIN;cuatro de equipos;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
65;66;42;Bascula Analoga;Kex Germany;BR-2050;NI;N887;Unidad Renal;Sala de dialisis peritonial;INVIMA2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
66;67;44;Bascula Analoga;Seca;750;5750120163650;N255;Urgencias;Consultorio #3;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
67;68;37;Bascula Analoga;Health o Meter;160 KG;1600007498;V116851;Urgencias;Consultorio #1;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
68;69;37;Bascula Analoga;Health o Meter;160 KG;1600023111;N8727;Urgencias;Observacion (Almacenamiento de insumos);INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
69;70;37;Bascula Analoga;Health o Meter;160 KG;1600021826;N8938;Urgencias;Consultorio #4;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
70;71;38;Bascula Analoga;Health o Meter;160 kg;1600021741;N9013;Urgencias;Observacion (Almacenamiento de insumos);INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
71;72;37;Bascula Analoga;Health o Meter;160 KG;1600022951;N11338;Laboratorio;Toma de Muestras IPS Tequendama;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
72;73;56;Bascula de Mesa;Trumax;Fenix;Ys201176;N.I;Hospitalizacion;estacion de enfermeria #5;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
73;74;56;Bascula de Mesa;Trumax;Fenix;YS201083;N.I;Hospitalizacion;estacion de enfermeria #4;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
74;75;56;Bascula de Mesa;Trumax;Fenix;YS172810;N1483;UCIN;UCIN;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
75;76;49;Bascula Digital;Health o Meter;844kl;8440116236;n3237;Cirugia;Recuperacion;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
76;77;52;Bascula Digital;Seca;813;8813317152900;N161;Hemodinamia;Preparacion pacientes;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
77;78;48;Bascula Digital;Health o Meter;844KL;8440104292;N2512;Hospitalizacion;estacion de enfermeria #5;INVIMA 2013DM-0010061;CLASE I;BAJA;Cosmitet Ltda.;SUKHI;ANUAL
78;79;51;Bascula Digital;Seca;803;8803012132347;V113688;Oncologia;Sala de procedimientos;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
79;80;51;Bascula Digital;Seca;803;8803012132146;V114050;Terapia Respiratoria;Consultorio 3;INVIMA2013DM-0010000;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
80;81;54;Bascula Digital;Seca;n.i;8813221171853;N2589;Rehabilitacion Cardiaca;Rehabilitacion Cardiaca;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
81;82;50;Bascula Digital;JCM;150 Kg;0121070164;N.I;Unidad Renal;Sala de hemodialisis;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
82;83;52;Bascula Digital;Seca;813;8813309201594;N4452;Urgencias;Triagge 1;INVIMA2013DM-0010000;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
83;84;52;Bascula Digital;Seca;813;8813309201362;N4451;Urgencias;Triagge 2;INVIMA2013DM-0010000;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
84;85;52;Bascula Digital;Seca;813;8813309201341;N4453;Urgencias;Observacion 1;INVIMA2013DM-0010000;CLASE I;BAJA;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
85;86;46;Bascula Analoga Pediatrica;Health o Meter;386KGS;3860008655;V112266;Urgencias;Observacion 2;INVIMA 2013DM-0010061;No especifica;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
86;87;47;Bascula Analoga Pediatrica;Health o Meter;386KGS-01;3860003625;N.I;Especialistas;Consultorio #3;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;SUKHI;ANUAL
87;88;47;Bascula Analoga Pediatrica;Health o Meter;386KGS-01;1300000014;1032000286;Urgencias;Observacion 1;INVIMA 2013DM-0010061;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
88;89;55;Bascula Digital Pediatrica;Seca;354;8354019210173;N5974;Urgencias;urgencias;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
89;90;55;Bascula Digital Pediatrica;Seca;354;8354340130742;V114642;Biomedico;Bodega de Biomedico;INVIMA2013DM-0010000;CLASE I;DISPONIBLE;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
90;91;55;Bascula Digital Pediatrica;Seca;354;8354300140377;V116850;Urgencias;Consultorio #3;INVIMA2013DM-0010000;CLASE I;FUERA DE SERVICIO;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
91;92;57;Bicicleta Ergonomica;Dynamic;FR-150;ST8910;V112470;Rehabilitacion Cardiaca;Rehabilitacion cardiaca;N.A;CLASE I;FUERA DE SERVICIO;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
92;93;58;Bicicleta estatica;sport top;B850;EN957-1;1071000004;Rehabilitacion Cardiaca;Rehabilitacion cardiaca;N.A;CLASE I;FUERA DE SERVICIO;Cosmitet Ltda.;Cosmitet Ltda.;ANUAL
93;94;59;Blender;SECHRIST;3500;83664;1065000001-1;Cirugia;Sala 1;INVIMA 2021DM-0024432;CLASE I;DISPONIBLE;Cosmitet Ltda.;N/A;N/A
94;95;60;Bomba de Infusion;Baxter;Evo IQ;SK01001159;1;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
95;96;60;Bomba de Infusion;Baxter;Evo IQ;SK10304392;2;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
96;97;60;Bomba de Infusion;Baxter;Evo IQ;SK00902053;3;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
97;98;60;Bomba de Infusion;Baxter;Evo IQ;SK01001882;4;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
98;99;60;Bomba de Infusion;Baxter;Evo IQ;SK00510645;5;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
99;100;60;Bomba de Infusion;Baxter;Evo IQ;SK01103557;6;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
100;101;60;Bomba de Infusion;Baxter;Evo IQ;SK11110488;7;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
101;102;60;Bomba de Infusion;Baxter;Evo IQ;SK20316369;8;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
102;103;60;Bomba de Infusion;Baxter;Evo IQ;SK00517631;9;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
103;104;60;Bomba de Infusion;Baxter;Evo IQ;SK00619890;10;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
104;105;60;Bomba de Infusion;Baxter;Evo IQ;SK10119473;11;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
105;106;60;Bomba de Infusion;Baxter;Evo IQ;SK01001206;12;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
106;107;60;Bomba de Infusion;Baxter;Evo IQ;SK20313403;13;Oncologia;Oncologia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
107;108;60;Bomba de Infusion;Baxter;Evo IQ;SK01103582;14;Cirugia;Cirugia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
108;109;60;Bomba de Infusion;Baxter;Evo IQ;SK00705239;15;Cirugia;Cirugia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
109;110;60;Bomba de Infusion;Baxter;Evo IQ;SK01002265;16;Cirugia;Cirugia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
110;111;60;Bomba de Infusion;Baxter;Evo IQ;SK01001150;17;Cirugia;Cirugia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
111;112;60;Bomba de Infusion;Baxter;Evo IQ;SK20313147;18;Cirugia;Cirugia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
112;113;60;Bomba de Infusion;Baxter;Evo IQ;SK00615169;19;Cirugia;Cirugia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
113;114;60;Bomba de Infusion;Baxter;Evo IQ;SK01002307;20;Cirugia;Cirugia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
114;115;60;Bomba de Infusion;Baxter;Evo IQ;SK01001062;21;Cirugia;Cirugia;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
115;116;60;Bomba de Infusion;Baxter;Evo IQ;SK01103379;22;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
116;117;60;Bomba de Infusion;Baxter;Evo IQ;SK00705286;23;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
117;118;60;Bomba de Infusion;Baxter;Evo IQ;SK11202774;24;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
118;119;60;Bomba de Infusion;Baxter;Evo IQ;SK20102180;25;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
119;120;60;Bomba de Infusion;Baxter;Evo IQ;SK00902132;26;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
120;121;60;Bomba de Infusion;Baxter;Evo IQ;SK11110471;27;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
121;122;60;Bomba de Infusion;Baxter;Evo IQ;SK00402406;28;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
122;123;60;Bomba de Infusion;Baxter;Evo IQ;SK10119515;29;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
123;124;60;Bomba de Infusion;Baxter;Evo IQ;SK11202790;30;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
124;125;60;Bomba de Infusion;Baxter;Evo IQ;SK00604756;31;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
125;126;60;Bomba de Infusion;Baxter;Evo IQ;SK10119443;32;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
126;127;60;Bomba de Infusion;Baxter;Evo IQ;SK00713879;33;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
127;128;60;Bomba de Infusion;Baxter;Evo IQ;SK10304322;34;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
128;129;60;Bomba de Infusion;Baxter;Evo IQ;SK20402470;35;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
129;130;60;Bomba de Infusion;Baxter;Evo IQ;SK01001082;36;UCI 2;UCI 2;INVIMA2019EBC-0020775;CLASE IIB;DISPONIBLE;Baxter;Baxter;BIANUAL
